Wall time,Step,Value
1684260532.4946098,1063,2.617830514907837
1684260532.7133083,1066,2.6174123287200928
1684260532.838279,1068,2.616436243057251
1684260533.121114,1072,2.617291212081909
1684260533.4022942,1076,2.6191909313201904
1684260533.5272627,1078,2.6200313568115234
1684260533.888035,1083,2.6196181774139404
1684260533.9505148,1084,2.619889974594116
1684260534.0130005,1085,2.620553970336914
1684260534.575367,1093,2.6219966411590576
1684260534.98156,1099,2.6210687160491943
1684260535.2703984,1103,2.6205508708953857
1684260535.3485096,1104,2.6204349994659424
1684260535.4109936,1105,2.620669364929199
1684260536.0202234,1114,2.6242871284484863
1684260536.3638887,1119,2.6270132064819336
1684260537.3715558,1133,2.6327571868896484
1684260537.4965098,1135,2.633120536804199
1684260538.9031012,1155,2.634244918823242
1684260538.981206,1156,2.635204553604126
1684260539.2390091,1160,2.6343584060668945
1684260539.3014917,1161,2.6345202922821045
1684260539.3795967,1162,2.634700298309326
1684260540.6295316,1180,2.6352148056030273
1684260540.95761,1185,2.6366355419158936
1684260541.4574878,1192,2.6426618099212646
1684260541.519941,1193,2.643246650695801
1684260541.933997,1199,2.648052215576172
1684260542.0902529,1201,2.6508452892303467
1684260542.433881,1206,2.6531362533569336
1684260542.574475,1208,2.6535112857818604
1684260544.2320697,1232,2.651796817779541
1684260544.35704,1234,2.651719570159912
1684260544.497631,1236,2.651394844055176
1684260545.0839298,1244,2.6501951217651367
1684260545.2713845,1247,2.6496388912200928
1684260545.8337555,1255,2.6506919860839844
1684260546.0447063,1258,2.653627395629883
1684260546.2633996,1261,2.6528241634368896
1684260547.1617174,1274,2.6558432579040527
1684260547.6537592,1281,2.653589963912964
1684260548.0683887,1287,2.6535861492156982
1684260548.4859207,1293,2.6564064025878906
1684260548.5640326,1294,2.656745672225952
1684260549.0092137,1300,2.657066822052002
1684260549.720255,1310,2.658635139465332
1684260550.0795462,1315,2.6572699546813965
1684260550.1496606,1316,2.656933307647705
1684260550.3527367,1319,2.656233072280884
1684260550.7619157,1325,2.6556363105773926
1684260550.9070358,1327,2.65498948097229
1684260551.1101162,1330,2.6547610759735107
1684260551.3288136,1333,2.6541290283203125
1684260551.5241244,1336,2.6533186435699463
1684260551.6022286,1337,2.6535048484802246
1684260552.859791,1355,2.652332067489624
1684260553.9088602,1370,2.6560301780700684
1684260554.925451,1385,2.654650926589966
1684260555.144148,1388,2.6592061519622803
1684260555.206637,1389,2.659940004348755
1684260555.3316088,1391,2.6611974239349365
1684260555.4097116,1392,2.6626298427581787
1684260556.860907,1413,2.6775496006011963
1684260556.9234197,1414,2.6777024269104004
1684260557.27505,1419,2.6775457859039307
1684260557.4781666,1422,2.67740797996521
1684260557.759314,1426,2.6760668754577637
1684260557.88428,1428,2.6760220527648926
1684260558.1580105,1432,2.6753084659576416
1684260558.4469752,1436,2.6742873191833496
1684260558.7281933,1440,2.6736865043640137
1684260560.4391997,1465,2.676025390625
1684260560.5173385,1466,2.6761550903320312
1684260561.2749207,1477,2.678823709487915
1684260561.8304071,1485,2.676434278488159
1684260561.8928492,1486,2.6759798526763916
1684260562.111548,1489,2.6754825115203857
1684260562.2365496,1491,2.6747448444366455
1684260562.3146236,1492,2.674858808517456
1684260562.9472604,1501,2.6728131771087646
1684260563.4237993,1508,2.671888828277588
1684260564.4781866,1523,2.6685190200805664
1684260564.5563273,1524,2.6685681343078613
1684260564.759366,1527,2.6674866676330566
1684260566.079397,1546,2.674630880355835
1684260566.4230642,1551,2.674393653869629
1684260566.4935749,1552,2.674563407897949
1684260566.6341698,1554,2.6748268604278564
1684260567.1047864,1561,2.6726810932159424
1684260567.5890427,1568,2.670851230621338
1684260567.6515281,1569,2.6710050106048584
1684260568.3001337,1578,2.6694626808166504
1684260568.5813103,1582,2.668501377105713
1684260568.7059035,1584,2.667893409729004
1684260569.0027068,1588,2.6668875217437744
1684260569.6353755,1597,2.665027141571045
1684260570.1196342,1604,2.663167953491211
1684260570.2133596,1605,2.663435459136963
1684260570.5733633,1610,2.666405200958252
1684260571.1428928,1618,2.668666124343872
1684260571.791271,1627,2.669694185256958
1684260571.8537562,1628,2.669721841812134
1684260572.1426857,1632,2.6691157817840576
1684260572.4812226,1637,2.6675217151641846
1684260572.6686778,1640,2.667088747024536
1684260572.8092723,1642,2.6664843559265137
1684260573.0202913,1645,2.6661441326141357
1684260573.3042138,1648,2.665663480758667
1684260573.5592763,1652,2.66526460647583
1684260574.1216047,1660,2.6702749729156494
1684260574.713894,1668,2.6714887619018555
1684260574.9950368,1672,2.6723878383636475
1684260575.198146,1675,2.6720125675201416
1684260575.2606027,1676,2.671980857849121
1684260575.6979961,1682,2.6706831455230713
1684260575.7604816,1683,2.6707472801208496
1684260576.5777624,1691,2.6735806465148926
1684260577.0347807,1695,2.6681325435638428
1684260577.1285076,1696,2.6684892177581787
1684260577.2066152,1697,2.6695265769958496
1684260577.3955529,1699,2.6693832874298096
1684260577.692363,1702,2.6684651374816895
1684260578.3879597,1709,2.668034553527832
1684260578.4973106,1710,2.668097972869873
1684260579.252689,1718,2.6740193367004395
1684260579.348943,1719,2.672424077987671
1684260580.1925704,1728,2.6700756549835205
1684260580.583103,1732,2.675436496734619
1684260580.7393208,1734,2.672708034515381
1684260580.9424314,1737,2.6736531257629395
1684260581.3173044,1742,2.674165964126587
1684260581.3797894,1743,2.674708843231201
1684260581.5083811,1745,2.675999164581299
1684260581.5708697,1746,2.6766605377197266
1684260581.6489754,1747,2.6771836280822754
1684260581.9770222,1752,2.677183151245117
1684260582.9461956,1766,2.685152769088745
1684260583.5887218,1775,2.685051679611206
1684260584.0010443,1781,2.684507131576538
1684260584.5024345,1788,2.6834371089935303
1684260584.564874,1789,2.683248996734619
1684260585.1584828,1798,2.6849544048309326
1684260585.6598094,1805,2.6815121173858643
1684260586.3002396,1814,2.687069892883301
1684260586.5016332,1817,2.683039665222168
1684260586.971467,1824,2.6841824054718018
1684260587.127678,1826,2.685053586959839
1684260587.408858,1830,2.685603141784668
1684260588.080573,1840,2.686056613922119
